# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , occupation                                        
 3.292652680E-07   1.000000000E+01
 5.811646319E-07   1.000000000E+01
 8.177086178E-07   1.000000000E+01
 1.030681194E-06   1.000000000E+01
 1.222755818E-06   1.000000000E+01
 1.398297979E-06   1.000000000E+01
 1.561040345E-06   1.000000000E+01
 1.713778985E-06   1.000000000E+01
 1.858537760E-06   1.000000000E+01
 1.996781473E-06   1.000000000E+01
 2.129585725E-06   1.000000000E+01
 2.257756873E-06   1.000000000E+01
 2.381913389E-06   1.000000000E+01
 2.502540489E-06   1.000000000E+01
 2.620026968E-06   1.000000000E+01
 2.734690341E-06   1.000000000E+01
 2.846794295E-06   1.000000000E+01
 2.956561027E-06   1.000000000E+01
 3.064180153E-06   1.000000000E+01
 3.169815268E-06   1.000000000E+01
 3.273608862E-06   1.000000000E+01
 3.375686084E-06   1.000000000E+01
 3.476157655E-06   1.000000000E+01
 3.575122176E-06   1.000000000E+01
 3.672667965E-06   1.000000000E+01
 3.768874540E-06   1.000000000E+01
 3.863813838E-06   1.000000000E+01
 3.957551220E-06   1.000000000E+01
 4.050146300E-06   1.000000000E+01
 4.141653653E-06   1.000000000E+01
 4.232123404E-06   1.000000000E+01
 4.321601732E-06   1.000000000E+01
 4.410131307E-06   1.000000000E+01
 4.497751656E-06   1.000000000E+01
 4.584499490E-06   1.000000000E+01
 4.670408980E-06   1.000000000E+01
 4.755512005E-06   1.000000000E+01
 4.839838366E-06   1.000000000E+01
 4.923415976E-06   1.000000000E+01
