# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , occupation                                        _d
 4.840000000E-07   8.840383770E+00
 6.339256464E-06   8.840383761E+00
 1.711215501E-05   8.840382366E+00
 2.869089957E-05   8.840366202E+00
 3.827443201E-05   8.840318574E+00
 4.746994909E-05   8.840200505E+00
 5.603145440E-05   8.839976660E+00
 6.398948045E-05   8.839612566E+00
 7.144277347E-05   8.839074733E+00
 7.848947794E-05   8.838330461E+00
 8.520989455E-05   8.837348038E+00
 9.166531011E-05   8.836097402E+00
 9.790100385E-05   8.834551091E+00
 1.039497602E-04   8.832685315E+00
 1.098349105E-04   8.830481013E+00
 1.155727629E-04   8.827924752E+00
 1.211745581E-04   8.825009331E+00
 1.266480565E-04   8.821733983E+00
 1.319988073E-04   8.818104154E+00
 1.372311276E-04   8.814130910E+00
 1.423488120E-04   8.809830042E+00
 1.473556049E-04   8.805221030E+00
